Gene 1	Gene 2	Weight	Network group	Networks
RPS29	RPL19	0.10969620884861797	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS15	RPL8	0.10950853955000639	Co-expression	Arijs-Rutgeerts-2009; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL41	RPS2	0.10941268969327211	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPL12	RPL8	0.10930068755988032	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS25	RPS2	0.1091810364741832	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPL28	RPL8	0.10850297869183123	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPS4X	RPL18	0.10845492547377944	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Rieger-Chu-2004; Roth-Zlotnik-2006; Smirnov-Cheung-2009; Wang-Maris-2006
RPS15	RPS18	0.10800445545464754	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPS28	RPL19	0.10789083992131054	Co-expression	Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS3A	RPS15	0.10784148192033172	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPS16	RPS11	0.1077355146408081	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPS3A	RPL19	0.10764251882210374	Co-expression	Arijs-Rutgeerts-2009; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPS3A	RPS17	0.10760649805888534	Co-expression	Bahr-Bowler-2013; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Perou-Botstein-1999; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wu-Garvey-2007
RPL19	RPS19	0.10752649139612913	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPL28	RPS2	0.1075010463828221	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPL18	RPS18	0.10707796190399677	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009
RPL31	RPS18	0.1069057781714946	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Innocenti-Brown-2011; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPLP0	RPS17	0.10675007686950266	Co-expression	Bahr-Bowler-2013; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wu-Garvey-2007
RPL41	RPS19	0.10661656619049609	Co-expression	Burington-Shaughnessy-2008; Cheok-Evans-2003; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPL37A	RPL19	0.10597804561257362	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPLP1	RPL19	0.10567021928727627	Co-expression	Bahr-Bowler-2013; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS16	RPL37A	0.10552146704867482	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPL12	RPL19	0.10436435509473085	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wu-Garvey-2007
RPS2	RPS18	0.10421478026546538	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPS16	RPS15	0.10396956070326269	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Cheok-Evans-2003; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS9	RPLP0	0.10369130200706422	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL31	RPLP0	0.10347522795200348	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL18	RPS9	0.1032901497092098	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS4X	RPL13	0.10327507485635579	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Chen-Brown-2002; Gysin-McMahon-2012; Kang-Willman-2010; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS16	RPL8	0.10284952376969159	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS28	RPL13	0.10270630591548979	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Rieger-Chu-2004; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPL18	RPL28	0.10249264445155859	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Wang-Maris-2006
RPL41	GAPDH	0.10238477122038603	Co-expression	Arijs-Rutgeerts-2009; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Ramaswamy-Golub-2001; Rieger-Chu-2004; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS10	RPL28	0.10237515589687973	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL31	RPS16	0.10193176311440766	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS28	RPS2	0.10185484169051051	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPS2	EEF1A1	0.10176769620738924	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPS4X	RPS29	0.10153114760760218	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPL18	RPS29	0.10143432742916048	Co-expression	Burington-Shaughnessy-2008; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wu-Garvey-2007
RPL31	RPL19	0.10118896025232971	Co-expression	Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS4X	RPS11	0.10115963080897927	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Gysin-McMahon-2012; Kang-Willman-2010; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
ENO1	GAPDH	0.10094854887574911	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Mallon-McKay-2013; Rieger-Chu-2004; Salaverria-Siebert-2011; Wang-Maris-2006
RPS15	RPS2	0.10069911926984787	Co-expression	Bild-Nevins-2006 B; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS15	RPL19	0.10039142915047705	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS16	RPL28	0.10037828225176781	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL13	RPS17	0.10014877817593515	Co-expression	Bahr-Bowler-2013; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Wu-Garvey-2007
RPL18	RPL19	0.10008790565188974	Co-expression	Bahr-Bowler-2013; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009
RPS4X	RPS16	0.09969906369224191	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Kang-Willman-2010; Mallon-McKay-2013; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPL41	RPL12	0.09965051454491913	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL31	RPL8	0.09926855564117432	Co-expression	Arijs-Rutgeerts-2009; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPS4X	RPS25	0.09840959077700973	Co-expression	Bild-Nevins-2006 B; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS25	RPL13	0.09830473084002733	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Kang-Willman-2010; Mallon-McKay-2013; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS9	RPS19	0.09797528339549899	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPL37A	RPS2	0.09788098349235952	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
RPS4X	RPLP0	0.09723778255283833	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPL37A	RPL8	0.09710893570445478	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Mallon-McKay-2013; Perou-Botstein-1999; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Wang-Maris-2006; Wu-Garvey-2007
RPL18	RPS2	0.09698503627441823	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPL31	RPS9	0.09687337558716536	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Wang-Maris-2006
RPLP1	RPL8	0.09664861368946731	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL13	RPS2	0.09635375463403761	Co-expression	Bahr-Bowler-2013; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPS28	RPL31	0.0959370550699532	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Wang-Maris-2006
RPL12	EEF2	0.09586231550201774	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL12	RPS16	0.09574189479462802	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPS25	RPL37A	0.09560185810551047	Co-expression	Bahr-Bowler-2013; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Smirnov-Cheung-2009; Wu-Garvey-2007
RPL28	RPS15	0.0953576525207609	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS18	GAPDH	0.09518121369183064	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Ramaswamy-Golub-2001; Rieger-Chu-2004; Smirnov-Cheung-2009; Wang-Maris-2006
RPS10	RPL19	0.09458389261271805	Co-expression	Arijs-Rutgeerts-2009; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS25	RPS10	0.09417840663809329	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPLP1	RPS17	0.09405118855647743	Co-expression	Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wu-Garvey-2007
RPS28	RPS15	0.0940426979213953	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS25	RPS9	0.09370236843824387	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL31	RPS15	0.09335155738517642	Co-expression	Bild-Nevins-2006 B; Cheok-Evans-2003; Gysin-McMahon-2012; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS25	RPS19	0.09310383768752217	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS29	GAPDH	0.09309328626841307	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Ramaswamy-Golub-2001; Rieger-Chu-2004; Smirnov-Cheung-2009; Wang-Maris-2006
RPS9	RPS11	0.09306565765291452	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Wang-Maris-2006; Wu-Garvey-2007
RPS25	RPS18	0.09301950666122139	Co-expression	Bild-Nevins-2006 B; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPL41	RPS16	0.09292044141329825	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
RPS25	RPL19	0.092886031139642	Co-expression	Arijs-Rutgeerts-2009; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wu-Garvey-2007
RPS29	RPL8	0.0926226656883955	Co-expression	Arijs-Rutgeerts-2009; Burington-Shaughnessy-2008; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPL28	RPL19	0.09218729462008923	Co-expression	Arijs-Rutgeerts-2009; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS4X	RPL41	0.09104297845624387	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
RPS3A	RPLP1	0.09094899613410234	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006; Wu-Garvey-2007
